,CRUXEval,,,,,CRUXEval,,,,,Avatar,,,,,,HumanEval,,,,ClassEval,,,,
Model,Bef.,Aft. - 0,Aft. - 1,Aft. - 2,Aft.-IC,Bef.,Aft. - 0,Aft. - 1,Aft. - 2,Aft.-IC,Bef. (Num),Aft. - 0 (Num),Aft. - 1,Aft. - 2,Aft. - ICL,Bef.,Aft.,Aft. - 1,Aft. - 2,Aft. (IC),Bef.,Aft.,Aft. - 1,Aft. - 2,Aft. (IC)
C-13-B,49.0,42.5,42.5,44.5,43.0,32.0,20.0,18.5,21.0,18.5,12,2,4,5,0,12,4,4,6,12,4.0,2.0,3.0,0.0,1
C-13-I,47.0,41.0,44.5,42.0,43.5,44.5,31.5,28.5,31.5,35.5,61,7,14,20,8,57,39,28,26,11,20.0,15.0,11.0,14.0,2
C-34-I,49.5,46.5,39.5,39.0,40.0,49.5,34.0,37.0,34.0,36.5,70,13,15,26,19,78,45,46,37,30,33.0,20.0,16.0,19.0,2
D-6.7-B,43.0,39.5,37.5,35.5,40.0,43.0,28.0,29,33.0,31.5,62,24,39,42,19,61,16,17,11,39,18.0,12.0,9.0,8.0,4
D-6.7-I,47.0,23.0,27.5,26.5,26.5,45.0,33.5,33.0,32.0,35.0,129,37,66,54,44,106,69,67,63,32,37.0,13.0,14.0,7.0,4
D-33-I,54.0,48.0,42.5,52.5,47.5,58.5,45.0,43.5,43.0,45.0,154,75,90,98,55,104,63,70,63,53,44.0,20.0,25.0,19.0,11
Sem,53.5,50.5,47.5,51.0,49.0,55.0,38.5,39.0,41.0,44.5,112,44,60,49,50,74,36,39,40,36,36.0,23.0,24.0,20.0,12
S-15,51.5,50.0,49.0,49.0,48.5,50.5,33.0,36.0,34.0,38.5,25,13,23,23,0,31,5,8,11,2,20.0,7.0,11.0,7.0,2
W-15,34.0,20.0,16.0,17.0,11.5,37.0,26.5,25.5,20.5,29.5,84,18,28,26,19,59,27,29,30,2,26.0,7.0,8.0,6.0,1
W-33,40.5,30.0,36.5,33.5,33.0,42.5,32.5,31.0,28.0,33.0,82,18,30,26,12,105,53,57,50,45,40.0,15.0,18.0,14.0,6
GPT-4o,79.0,75.5,78.5,73.5,62.5,88.5,84.5,83.0,85.0,69.5,159,97,91,94,92,127,123,119,116,109,45.0,37.0,38.0,35.0,20
o4-mini,77.0,47.5,40.5,42.5,50.0,0.0,0.0,0.0,0.0,0.0,121,88,73,65,99,107,51,49,65,60,37.0,22.0,17.0,18.0,19.0
deepseek-r1,30.5,11.5,9.0,9.0,9.5,76.0,35.5,31.0,29.0,33.0,99,42,38,37,87,124,74,76,70,68,40.0,25.0,25.0,16.0,20.0
